"Business_ID","Address","Cuisine","insertedAtTimestamp","Latitude","Longitude","Name","Number of Reviews","Open","Rating","Zip Code"
"croh2zWlbPyCQTNS11klcg","258 W 44th St","chinese","11/10/2021 17:54:10","40.7581711239604","'-73.9883149042726","China River 川聚院","217","N/A","4","10036"
"tjVrrylKbRr5lOVEVmiYMw","1184 Bdway","american","11/10/2021 17:53:51","40.75095","'-73.99811","L'Adresse  - NoMad","6","N/A","5","10001"
"xGoSAOhQBNdJMJmPn7CMDQ","1440 Broadway","mexican","11/10/2021 17:54:43","40.754109","'-73.986015","Mexicue","588","N/A","4","10018"
"tCuPhpmf1PaYe5dmwdq8Ew","768 Amsterdam Ave","mexican","11/10/2021 17:54:51","40.79515","'-73.9698","Guacamole Mexican Restaurant","203","N/A","4","10025"
"e8C2mJjAmk0YWQx_Q0NN3w","626B 10th Ave","mexican","11/10/2021 17:54:45","40.761115","'-73.9940146","Casa del Toro","70","N/A","4.5","10036"
"QJTLAOMNvhV1_jPfcQ_qPw","155 E 52nd St","japanese","11/10/2021 17:54:00","40.75743","'-73.97042","Nippon","178","N/A","4","10022"
"UiG3MlLDMMZp31XDBM2kvA","803 9th Ave","indian","11/10/2021 17:54:31","40.765667","'-73.987595","Karahi Indian Cuisine","74","N/A","4.5","10019"
"8cyRl5HIQzbkYD7orq223g","4720 Center Blvd","chinese","11/10/2021 17:54:14","40.74599336793073","'-73.957094","SHI","856","N/A","3.5","11109"
"mmAlHhnTDXIohPC3wfl0hQ","372 Graham Ave","mexican","11/10/2021 17:54:47","40.715528","'-73.944273","Mesa Coyoacan","791","N/A","4","11211"
"Bwj7nzWphGV6FaZ_ygTSOg","969 Amsterdam Ave","chinese","11/10/2021 17:54:14","40.80133","'-73.96466","Happy Hot Hunan","170","N/A","3.5","10025"
"1TLoaB7SXJZo3W5f4OGm8w","706 Amsterdam Ave","indian","11/10/2021 17:54:37","40.79305","'-73.97132","Ayurveda Cafe","338","N/A","4","10025"
"hGo9KArKThuOKxNbwmNpoA","219 Mulberry St","american","11/10/2021 17:53:45","40.7223288","'-73.996326","Ruby's Cafe","1367","N/A","4","10012"
"CEdTPBK6HBjpUP_zLDdrlQ","36 East 20th St","indian","11/10/2021 17:54:39","40.73861","'-73.98864","SONA","139","N/A","3","10003"
"BPyt7S9TdcR1u571iacg7g","49 W 39th St","indian","11/10/2021 17:54:33","40.75269","'-73.98466","The Kati Roll Company","1566","N/A","3.5","10018"
"shwaY4v3fx9tjalvHVIBxQ","144 W 37th St","chinese","11/10/2021 17:54:12","40.75246221952214","'-73.98871967056284","Tengri Tagh Uyghur Cuisine","33","N/A","4.5","10018"
"NRJq2BNcbjqAyxUB_bw7gw","185 7th Ave","japanese","11/10/2021 17:53:54","40.7426255196333","'-73.9966481924057","Momoya","710","N/A","4","10011"
"KSleHGTG1yL1E7OEFFPoNQ","58 E 8th St","chinese","11/10/2021 17:54:07","40.73089","'-73.99343","LaoMa Spicy","199","N/A","4","10003"
"GOEBF8Odq1SPdz4PWJx6PQ","33 E 61st St","american","11/10/2021 17:53:52","40.764789","'-73.969779","Serafina Always","350","N/A","3","10065"
"7Bb_IDWV_zJqpBjAvxuBIA","87 2nd Ave","american","11/10/2021 17:53:44","40.72704","'-73.9892","Cooper's Craft & Kitchen","448","N/A","4","10003"
"4LoroCI3VtQ17dyQa75-Rg","131 Christopher St","american","11/10/2021 17:53:41","40.7331","'-74.0067","The Warren","246","N/A","4","10014"
"MOwB9YYd-Ko6nVgSB-ltQw","370 W 51st St","italian","11/10/2021 17:53:27","40.7637997047278","'-73.9880919456482","Briciola","872","N/A","4","10019"
"NUdrJYB7GHRuwVVETSDIFQ","10-29 44th Rd","mexican","11/10/2021 17:54:52","40.74961","'-73.94994","Top Quality","100","N/A","4.5","11101"
"EPHhPGDFvnq2ARTBxAikuw","93 1st Ave","indian","11/10/2021 17:54:37","40.726322","'-73.986648","Milon","501","N/A","3.5","10003"
"mVaslo987DCd3YC_0FtWxA","57 Jane St","mexican","11/10/2021 17:54:52","40.73822","'-74.00524","Mole","457","N/A","3.5","10014"
"5EQOEAkH2Qh3Rv1TcnE7yA","114 Christopher St","italian","11/10/2021 17:53:34","40.73316","'-74.00537","Fiaschetteria Pistoia","73","N/A","4","10014"
"MdFV5IBcX-Ni6I4Zy1EqIw","1018 Amsterdam Ave","italian","11/10/2021 17:53:39","40.8028109023738","'-73.9641991912535","Marlow Bistro","298","N/A","4","10025"
"U3hvDT5CtQrnpg2zhJg3mQ","478 9th Ave","indian","11/10/2021 17:54:40","40.7549782340085","'-73.9948511123657","Kashmir 9 - Cuisine of Pakistan","209","N/A","3.5","10018"
"y_ylOQzCP-9D_4DcUIJ3jA","216 E 10th St","korean","11/10/2021 17:54:26","40.729147","'-73.985906","Shabu-Tatsu East Village","646","N/A","4","10003"
"ptWTdgSzSpH-0LD24QIH-w","500 W 33rd St","japanese","11/10/2021 17:54:03","40.753754","'-74.001388","Wild Ink","174","N/A","4","10001"
"ddKmJRZ3D1iS-gbZq03OWQ","228 W 47th St","american","11/10/2021 17:53:50","40.759682795270116","'-73.98635286998487","Friedmans","585","N/A","4","10036"
"_LJFf9YqpYxvExTvVxb7Rw","9 W 53rd St","american","11/10/2021 17:53:45","40.7610699","'-73.97709","The Modern","1022","N/A","4.5","10019"
"1ozuYD1HTa4u2F_NR9uUJg","186 Ave A","korean","11/10/2021 17:54:24","40.72886","'-73.9813","Gomi Korean Wine Bar","142","N/A","4.5","10009"
"KHxfOFf3FzYXJKI8SQx5MA","1296 Palisade Ave","korean","11/10/2021 17:54:28","40.8399467468262","'-73.9757995605469","Taste 1080","213","N/A","4.5","07024"
"Xd_l7jtUAZZAAvK8-mI2Jw","1150 Broadway","american","11/10/2021 17:53:40","40.74424","'-73.98878","The Smith","1112","N/A","4","10010"
"Z65cd3Z7JvwK8TnSVg-cfA","246 W 38th St","american","11/10/2021 17:53:48","40.75409","'-73.99039","District Tap House","825","N/A","4","10018"
"EKkHfSYTm266-ZBve3SdgA","8 W 36th St","korean","11/10/2021 17:54:17","40.74996750318778","'-73.98443095513923","Yoon Haeundae Galbi","527","N/A","4.5","10018"
"sQw7aEos_0FmO0UFtrJokg","270 Bleeker St","chinese","11/10/2021 17:54:08","40.73138","'-74.00319","Clay Pot - West Village","109","N/A","4.5","10014"
"NzU2hb0z0jGEOOv0-zTLEQ","91 1st Ave","indian","11/10/2021 17:54:37","40.726261","'-73.986686","Sigiri","613","N/A","4","10003"
"6kCo3xb87Sc3Aa5ZSWzNnw","610 8th Ave","chinese","11/10/2021 17:54:13","40.7555654203146","'-73.9907654374838","Kung Fu Kitchen","425","N/A","3.5","10018"
"5DubGsDTQYkdNf4nEYsfag","254 36th St","korean","11/10/2021 17:54:28","40.6564113","'-74.0082717","Ejen Korean Comfort Food","54","N/A","4.5","11232"
"MctQwL9Mp5X7DJk13VoERg","246 W 18th St","american","11/10/2021 17:53:41","40.74175","'-74.00007","Westville Chelsea","1161","N/A","4","10011"
"B0IXsKwCk21hNQffYPJmHA","274 Lenox Ave","indian","11/10/2021 17:54:34","40.80678","'-73.94588","Chaiwali","217","N/A","3.5","10027"
"0axnkZlDiQcJVc06DDXxGQ","501 W 51st St","italian","11/10/2021 17:53:31","40.7654289685161","'-73.9914178848267","Ristorante Il Melograno","336","N/A","4","10019"
"XAEwG1bfAiWUewpzZnB2uw","38 Rector St","japanese","11/10/2021 17:54:00","40.708376","'-74.0144832","Chikarashi Isso","56","N/A","4","10006"
"479rycCXZojMT9S0cl8Oxg","250 E 52nd St","korean","11/10/2021 17:54:21","40.75611","'-73.96815","Yakiniku Gen","147","N/A","4","10022"
"O5S9rhY63YPGiQeUcn7PKA","43 W 27th St","italian","11/10/2021 17:53:38","40.74519","'-73.98985","Cardoncello DiVino","110","N/A","4.5","10001"
"ojbH3wnRu050hRhkmoxRiA","215 W 85th St","chinese","11/10/2021 17:54:05","40.78752","'-73.97647","Han Dynasty","628","N/A","4","10024"
"yQ7K4uFnxXxpBVbnOSR8kA","71 West 71st St","italian","11/10/2021 17:53:31","40.77668","'-73.97888","Polpette 71","184","N/A","4","10023"
"sBCJYLPNJuagg-aJ3Y_ozQ","19 St Marks Pl","chinese","11/10/2021 17:54:12","40.72925","'-73.9886","Cheli","75","N/A","4","10003"
"l_RAv09V67j-Hm9dyZxWhw","239 E 53rd St","japanese","11/10/2021 17:53:54","40.75725","'-73.96774","Tomi Jazz","525","N/A","4.5","10022"
"wDuf4Qz9qsC62amLZgWNJQ","550 3rd Ave","chinese","11/10/2021 17:54:05","40.74744","'-73.97728","Little Alley","399","N/A","4","10016"
"XBZkwp9lNsZfjD3ejBE7Yw","31 W 46th St","indian","11/10/2021 17:54:40","40.75669","'-73.98029","chandni restaurant","1","N/A","5","10001"
"1nR3kKOs938gcgnw6p5wjg","640 Third Ave","mexican","11/10/2021 17:54:48","40.75048","'-73.97488","Sinigual","937","N/A","3.5","10017"
"8p1HTzXEcC3TCbLz59xMng","185 St Nicholas Ave","mexican","11/10/2021 17:54:52","40.8061","'-73.95302","La Diagonal","235","N/A","4","10026"
